Unique ID,Email,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?.1,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Average Salary,Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?.1,Q12 - Highest Level of Education,Q13 - Ethnicity
"62a349c7cec54911e9ca67c7","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:40:00,000","1899-12-30 00:01:05,000","Data Analyst","Yes","106k-125k",115.5,"Finance","Python",5,1,4,3,3,4,"Easy","Better Salary","Female",38,"United States","Bachelors","White or Caucasian"
"62a34b1b0f8c8599d5af328b","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:46:00,000","1899-12-30 00:00:48,000","Data Analyst","No","41k-65k",53,"Tech","R",10,8,9,10,10,10,"Easy","Better Salary","Male",25,"United States","Bachelors","White or Caucasian"
"62a34ff1f408bae018ed601d","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:06:00,000","1899-12-30 00:01:16,000","Data Analyst","No","41k-65k",53,"Other","Python",2,6,2,3,2,2,"Easy","Better Salary","Male",26,"Other","Masters","White or Caucasian"
"62a34ff4f3072dd892624b32","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:06:00,000","1899-12-30 00:02:18,000","Data Analyst","Yes","41k-65k",53,"Healthcare","R",3,6,4,6,4,6,"Neither easy nor difficult","Better Salary","Male",37,"United States","Bachelors","White or Caucasian"
"62a3505bd8c00e9f5419f8df","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:08:00,000","1899-12-30 00:01:22,000","Data Analyst","Yes","66k-85k",75.5,"Healthcare","Python",3,5,4,5,4,4,"Neither easy nor difficult","Better Salary","Female",31,"United States","Bachelors","White or Caucasian"
"62a35130f3072dd892624d9f","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:12:00,000","1899-12-30 00:02:04,000","Data Analyst","Yes","0-40k",20,"Healthcare","Python",2,6,6,5,4,5,"Easy","Better Salary","Female",26,"Other","Bachelors","White or Caucasian"
"62a351860a77c1a77f65e86b","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:13:00,000","1899-12-30 00:01:28,000","Data Analyst","Yes","66k-85k",75.5,"Healthcare","Other",7,8,8,8,8,7,"Very Easy","Better Salary","Male",30,"United States","Bachelors","White or Caucasian"
"62a35541f3072dd892625517","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:29:00,000","1899-12-30 00:02:07,000","Data Analyst","Yes","41k-65k",53,"Other","Python",5,5,7,7,7,7,"Easy","Better Salary","Male",32,"United Kingdom","Bachelors","White or Caucasian"
"62a3578b0a77c1a77f65f279","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:39:00,000","1899-12-30 00:01:44,000","Data Analyst","No","41k-65k",53,"Other","R",4,6,5,4,5,6,"Neither easy nor difficult","Better Salary","Male",25,"United States","Bachelors","White or Caucasian"
"62a357d30f8c8599d5af4ea3","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:40:00,000","1899-12-30 00:01:36,000","Data Analyst","No","0-40k",20,"Finance","Other",4,4,5,6,6,0,"Difficult","Better Salary","Male",24,"Other","High School","White or Caucasian"
"62a35981bae91e4b8b8323dd","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:47:00,000","1899-12-30 00:01:07,000","Data Analyst","No","106k-125k",115.5,"Healthcare","Other",6,6,3,3,3,3,"Neither easy nor difficult","Better Salary","Female",29,"United States","Masters","White or Caucasian"
"62a35f0d24a2626027386a8b","anonymous","2022-10-06 00:00:00,000","1899-12-30 11:11:00,000","1899-12-30 00:01:03,000","Data Analyst","No","66k-85k",75.5,"Healthcare","Python",3,3,4,1,2,2,"Neither easy nor difficult","Better Salary","Male",29,"United States","Masters","White or Caucasian"
"62a365d5d8c00e9f541a20cf","anonymous","2022-10-06 00:00:00,000","1899-12-30 11:40:00,000","1899-12-30 00:02:38,000","Data Analyst","Yes","0-40k",20,"Telecommunication","R",5,7,5,5,5,7,"Difficult","Better Salary","Male",41,"Other","Bachelors","White or Caucasian"
"62a3684ebc6861bf31771f15","anonymous","2022-10-06 00:00:00,000","1899-12-30 11:50:00,000","1899-12-30 00:00:48,000","Data Analyst","No","106k-125k",115.5,"Finance","Python",4,4,4,4,4,4,"Neither easy nor difficult","Better Salary","Male",25,"United States","Bachelors","White or Caucasian"
"62a37128d8c00e9f541a39dd","anonymous","2022-10-06 00:00:00,000","1899-12-30 12:28:00,000","1899-12-30 00:01:57,000","Data Analyst","No","0-40k",20,"Other","Other",5,2,5,5,3,4,"Difficult","Better Salary","Male",25,"Other","Bachelors","White or Caucasian"
"62a3715124a2626027388f02","anonymous","2022-10-06 00:00:00,000","1899-12-30 12:29:00,000","1899-12-30 00:01:21,000","Data Analyst","No","0-40k",20,"Real Estate","Python",4,7,9,5,2,8,"Easy","Better Salary","Male",23,"Other","Bachelors","White or Caucasian"
"62a384f0cec54911e9cadd6f","anonymous","2022-10-06 00:00:00,000","1899-12-30 13:52:00,000","1899-12-30 00:02:41,000","Data Analyst","Yes","0-40k",20,"Other","Other",3,5,6,4,6,6,"Neither easy nor difficult","Better Salary","Female",40,"Other","PhD","White or Caucasian"
"62a38c9dbc6861bf317760c4","anonymous","2022-10-06 00:00:00,000","1899-12-30 14:25:00,000","1899-12-30 00:01:57,000","Data Analyst","Yes","66k-85k",75.5,"Other","Other",7,6,5,7,4,4,"Easy","Better Salary","Female",56,"United States","Bachelors","White or Caucasian"
"62a39e03f408bae018eded39","anonymous","2022-10-06 00:00:00,000","1899-12-30 15:39:00,000","1899-12-30 00:01:59,000","Data Analyst","No","0-40k",20,"Other","Python",6,6,10,8,6,8,"Neither easy nor difficult","Better Salary","Male",25,"Other","Bachelors","White or Caucasian"
"62a3a3800f8c8599d5afd4db","anonymous","2022-10-06 00:00:00,000","1899-12-30 16:03:00,000","1899-12-30 00:01:45,000","Data Analyst","Yes","66k-85k",75.5,"Other","Python",9,10,10,9,8,10,"Difficult","Better Salary","Female",31,"United States","Bachelors","White or Caucasian"
"62a3a9dbd8c00e9f541a93eb","anonymous","2022-10-06 00:00:00,000","1899-12-30 16:30:00,000","1899-12-30 00:01:54,000","Data Analyst","Yes","0-40k",20,"Tech","Python",4,4,4,5,2,1,"Difficult","Better Salary","Male",29,"Other","Masters","White or Caucasian"
"62a3b135b4da29969c63b1ed","anonymous","2022-10-06 00:00:00,000","1899-12-30 17:01:00,000","1899-12-30 00:01:18,000","Data Analyst","Yes","41k-65k",53,"Finance","R",2,5,5,5,4,5,"Easy","Better Salary","Male",24,"United States","Bachelors","White or Caucasian"
"62a3b314f408bae018ee0938","anonymous","2022-10-06 00:00:00,000","1899-12-30 17:09:00,000","1899-12-30 00:01:18,000","Data Analyst","Yes","106k-125k",115.5,"Other","R",8,8,10,9,7,5,"Easy","Better Salary","Male",29,"United States","Bachelors","White or Caucasian"
"62a3ba4dbc6861bf31779f24","anonymous","2022-10-06 00:00:00,000","1899-12-30 17:40:00,000","1899-12-30 00:01:19,000","Data Analyst","Yes","41k-65k",53,"Other","Python",3,5,3,3,1,1,"Neither easy nor difficult","Better Salary","Male",28,"United Kingdom","Bachelors","White or Caucasian"
"62a3cfed0f8c8599d5b00b12","anonymous","2022-10-06 00:00:00,000","1899-12-30 19:12:00,000","1899-12-30 00:01:09,000","Data Analyst","Yes","0-40k",20,"Finance","Python",1,10,10,5,3,1,"Neither easy nor difficult","Better Salary","Female",25,"United States","Bachelors","White or Caucasian"
"62a3fe0d5d257a28a30ea3c8","anonymous","2022-10-06 00:00:00,000","1899-12-30 22:29:00,000","1899-12-30 00:12:09,000","Data Analyst","No","66k-85k",75.5,"Tech","Python",8,6,7,7,8,8,"Easy","Better Salary","Male",23,"United States","Associates","White or Caucasian"
"62a4098124a2626027394ddc","anonymous","2022-10-06 00:00:00,000","1899-12-30 23:18:00,000","1899-12-30 00:02:12,000","Data Analyst","Yes","66k-85k",75.5,"Healthcare","Python",10,10,10,7,10,10,"Neither easy nor difficult","Better Salary","Male",36,"United States","Masters","White or Caucasian"
"62a41135bc6861bf3177f3d8","anonymous","2022-10-06 00:00:00,000","1899-12-30 23:51:00,000","1899-12-30 00:01:27,000","Data Analyst","No","66k-85k",75.5,"Other","Python",5,5,7,6,4,6,"Very Easy","Better Salary","Female",54,"United States","High School","White or Caucasian"
"62a41e23bc6861bf3177fffb","anonymous","2022-11-06 00:00:00,000","1899-12-30 00:46:00,000","1899-12-30 00:01:41,000","Data Analyst","Yes","0-40k",20,"Finance","Python",5,5,5,5,5,10,"Neither easy nor difficult","Better Salary","Male",24,"Other","Bachelors","White or Caucasian"
"62a448832e54c9003e5491c5","anonymous","2022-11-06 00:00:00,000","1899-12-30 03:47:00,000","1899-12-30 00:02:36,000","Data Analyst","No","66k-85k",75.5,"Healthcare","Python",7,8,9,7,7,6,"Easy","Better Salary","Male",24,"United States","Bachelors","White or Caucasian"
"62a44ae2f8f7561645869335","anonymous","2022-11-06 00:00:00,000","1899-12-30 03:57:00,000","1899-12-30 00:02:32,000","Data Analyst","Yes","41k-65k",53,"Healthcare","Python",4,7,6,6,6,7,"Neither easy nor difficult","Better Salary","Female",26,"United States","Bachelors","White or Caucasian"
"62a44bc7bc6861bf31783829","anonymous","2022-11-06 00:00:00,000","1899-12-30 04:01:00,000","1899-12-30 00:01:16,000","Data Analyst","Yes","0-40k",20,"Other","Python",2,8,8,9,8,10,"Difficult","Better Salary","Male",30,"United Kingdom","Bachelors","White or Caucasian"
"62a45a140a77c1a77f67469d","anonymous","2022-11-06 00:00:00,000","1899-12-30 05:02:00,000","1899-12-30 00:02:27,000","Data Analyst","No","66k-85k",75.5,"Real Estate","Other",6,8,7,7,5,6,"Easy","Better Salary","Female",29,"United Kingdom","Bachelors","White or Caucasian"
"62a47f1e0a77c1a77f677174","anonymous","2022-11-06 00:00:00,000","1899-12-30 07:40:00,000","1899-12-30 00:02:12,000","Data Analyst","Yes","86k-105k",95.5,"Tech","R",8,8,8,8,8,8,"Difficult","Better Salary","Male",41,"United States","Bachelors","White or Caucasian"
"62a491b3b4da29969c64a89e","anonymous","2022-11-06 00:00:00,000","1899-12-30 08:59:00,000","1899-12-30 00:01:38,000","Data Analyst","Yes","86k-105k",95.5,"Tech","R",3,,,,,,"Neither easy nor difficult","Better Salary","Male",35,"United Kingdom","Bachelors","White or Caucasian"
"62a4b29a5d257a28a30f6c63","anonymous","2022-11-06 00:00:00,000","1899-12-30 11:19:00,000","1899-12-30 00:01:11,000","Data Analyst","Yes","41k-65k",53,"Healthcare","R",4,5,6,6,5,6,"Neither easy nor difficult","Better Salary","Female",33,"United States","High School","White or Caucasian"
"62a4c6060a77c1a77f67c772","anonymous","2022-11-06 00:00:00,000","1899-12-30 12:42:00,000","1899-12-30 00:01:39,000","Data Analyst","No","41k-65k",53,"Other","Python",9,8,3,5,2,4,"Easy","Better Salary","Male",27,"Other","Masters","White or Caucasian"
"62a4cdfad8c00e9f541bdc6b","anonymous","2022-11-06 00:00:00,000","1899-12-30 13:16:00,000","1899-12-30 00:02:06,000","Data Analyst","No","66k-85k",75.5,"Other","Python",8,9,9,9,9,10,"Neither easy nor difficult","Better Salary","Male",34,"United States","Masters","White or Caucasian"
"62a51fe0575fa3a5ae8b0c06","anonymous","2022-11-06 00:00:00,000","1899-12-30 19:06:00,000","1899-12-30 00:02:21,000","Data Analyst","No","0-40k",20,"Healthcare","Python",1,5,4,6,5,6,"Neither easy nor difficult","Better Salary","Male",23,"Other","Bachelors","White or Caucasian"
"62a53bc0bc6861bf31793947","anonymous","2022-11-06 00:00:00,000","1899-12-30 21:05:00,000","1899-12-30 00:01:19,000","Data Analyst","Yes","66k-85k",75.5,"Other","R",3,4,4,5,4,4,"Very Easy","Better Salary","Male",26,"United States","Bachelors","White or Caucasian"
"62a54f20d8c00e9f541c5cfa","anonymous","2022-11-06 00:00:00,000","1899-12-30 22:27:00,000","1899-12-30 00:02:37,000","Data Analyst","Yes","66k-85k",75.5,"Other","Python",2,8,6,1,8,10,"Neither easy nor difficult","Better Salary","Male",36,"United States","Masters","White or Caucasian"
"62a57116f408bae018efd56a","anonymous","2022-12-06 00:00:00,000","1899-12-30 00:52:00,000","1899-12-30 00:01:37,000","Data Analyst","No","106k-125k",115.5,"Other","Python",10,10,10,10,10,6,"Easy","Better Salary","Female",42,"United States","Bachelors","White or Caucasian"
"62a57263cec54911e9ccf648","anonymous","2022-12-06 00:00:00,000","1899-12-30 00:58:00,000","1899-12-30 00:01:54,000","Data Analyst","Yes","41k-65k",53,"Healthcare","Python",1,10,10,8,10,3,"Neither easy nor difficult","Better Salary","Female",36,"United States","Bachelors","White or Caucasian"
"62a574b3b4da29969c658eb4","anonymous","2022-12-06 00:00:00,000","1899-12-30 01:08:00,000","1899-12-30 00:01:43,000","Data Analyst","Yes","41k-65k",53,"Other","Python",2,3,7,6,5,6,"Neither easy nor difficult","Better Salary","Male",27,"United States","Bachelors","White or Caucasian"
"62a59d007dc029e2d66eb8f9","anonymous","2022-12-06 00:00:00,000","1899-12-30 04:00:00,000","1899-12-30 00:01:29,000","Data Analyst","Yes","66k-85k",75.5,"Other","Other",2,0,0,0,0,2,"Difficult","Better Salary","Female",33,"United States","Bachelors","White or Caucasian"
"62a618a9d8c00e9f541d3537","anonymous","2022-12-06 00:00:00,000","1899-12-30 12:47:00,000","1899-12-30 00:01:56,000","Data Analyst","Yes","0-40k",20,"Tech","R",0,8,7,6,3,9,"Very Difficult","Better Salary","Male",27,"United States","High School","White or Caucasian"
"62a73aa824a26260273d0172","anonymous",,"1899-12-30 09:24:00,000","1899-12-30 00:01:26,000","Data Analyst","Yes","41k-65k",53,"Tech","Python",3,3,5,4,4,4,"Neither easy nor difficult","Better Salary","Male",48,"United States","Bachelors","White or Caucasian"
"62a77cb7b4da29969c68743a","anonymous",,"1899-12-30 14:06:00,000","1899-12-30 00:00:50,000","Data Analyst","Yes","41k-65k",53,"Agriculture","Python",3,6,5,5,5,6,"Neither easy nor difficult","Better Salary","Male",29,"United States","Bachelors","White or Caucasian"
"62a8665c5d257a28a31474f7","anonymous",,"1899-12-30 06:43:00,000","1899-12-30 00:01:05,000","Data Analyst","Yes","0-40k",20,"Healthcare","Other",6,7,5,7,7,9,"Difficult","Better Salary","Female",22,"United Kingdom","Bachelors","White or Caucasian"
"62a868c5cf2555431737094b","anonymous",,"1899-12-30 06:53:00,000","1899-12-30 00:01:34,000","Data Analyst","No","41k-65k",53,"Finance","Python",4,7,7,7,5,5,"Easy","Better Salary","Male",24,"Other","Bachelors","White or Caucasian"
"62a8f477f408bae018f5869d","anonymous",,"1899-12-30 16:49:00,000","1899-12-30 00:01:35,000","Data Analyst","No","86k-105k",95.5,"Healthcare","Python",8,9,8,8,8,9,"Difficult","Better Salary","Male",40,"United States","High School","White or Caucasian"
"62aa956ef8d5efcc22028e3d","anonymous",,"1899-12-30 22:29:00,000","1899-12-30 00:02:50,000","Data Analyst","Yes","0-40k",20,"Tech","Python",6,7,7,7,5,6,"Neither easy nor difficult","Better Salary","Male",39,"Other","Associates","White or Caucasian"
"62aaa387f8d5efcc22029fcb","anonymous",,"1899-12-30 23:29:00,000","1899-12-30 00:01:17,000","Data Analyst","Yes","66k-85k",75.5,"Healthcare","Other",7,7,4,7,7,7,"Difficult","Better Salary","Male",54,"United States","High School","White or Caucasian"
"62ab83a7d8c00e9f54263d2e","anonymous",,"1899-12-30 15:25:00,000","1899-12-30 00:01:11,000","Data Analyst","Yes","41k-65k",53,"Tech","Python",3,6,6,6,5,5,"Neither easy nor difficult","Better Salary","Male",27,"Canada","Bachelors","White or Caucasian"
"62af9ed7f3072dd892739279","anonymous",,"1899-12-30 18:10:00,000","1899-12-30 00:02:06,000","Data Analyst","Yes","0-40k",20,"Tech","Python",3,9,9,6,9,4,"Easy","Better Salary","Male",23,"Other","Masters","White or Caucasian"
"62b525563f28f20328aeee5c","anonymous",,"1899-12-30 22:45:00,000","1899-12-30 00:00:50,000","Data Analyst","Yes","125k-150k",137.5,"Other","R",8,5,6,6,5,7,"Easy","Better Salary","Male",26,"United States","Bachelors","White or Caucasian"
"62a33ee80f8c8599d5af14b7","anonymous","2022-10-06 00:00:00,000","1899-12-30 08:54:00,000","1899-12-30 00:01:37,000","Data Engineer","No","125k-150k",137.5,"Tech","Other",8,10,10,9,9,9,"Easy","Better Salary","Male",43,"United States","","White or Caucasian"
"62a33f17f8f7561645852867","anonymous","2022-10-06 00:00:00,000","1899-12-30 08:54:00,000","1899-12-30 00:02:28,000","Other","No","0-40k",20,"Tech","Python",2,9,7,7,5,6,"Difficult","Better Salary","Male",31,"Other","","White or Caucasian"
"62a341e8f8d5efcc22f7d002","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:06:00,000","1899-12-30 00:01:58,000","Other","No","41k-65k",53,"Other","C/C++",3,6,7,7,0,3,"Very Difficult","Better Salary","Male",29,"United States","Bachelors","White or Caucasian"
"62a3426cf408bae018ed409b","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:09:00,000","1899-12-30 00:01:33,000","Student/Looking/None","No","0-40k",20,"Tech","Python",1,4,5,5,1,1,"Difficult","Better Salary","Male",25,"United States","Masters","White or Caucasian"
"62a34340bc6861bf3176d05b","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:12:00,000","1899-12-30 00:04:03,000","Other","Yes","41k-65k",53,"Tech","Python",6,7,4,3,9,8,"Difficult","Better Salary","Male",28,"Other","Bachelors","White or Caucasian"
"62a3493fb4da29969c62fe63","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:38:00,000","1899-12-30 00:02:22,000","Other","Yes","41k-65k",53,"Other","Python",8,8,9,9,10,10,"Very Easy","Better Salary","Male",34,"United Kingdom","Bachelors","White or Caucasian"
"62a34b07cec54911e9ca6b6e","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:45:00,000","1899-12-30 00:01:19,000","Student/Looking/None","No","0-40k",20,"Other","Python",0,0,0,0,0,5,"Neither easy nor difficult","Better Salary","Male",25,"Other","Bachelors","White or Caucasian"
"62a34b5b5d257a28a30d96a6","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:47:00,000","1899-12-30 00:01:20,000","Data Scientist","No","86k-105k",95.5,"Finance","Python",8,7,6,6,5,9,"Neither easy nor difficult","Better Salary","Male",22,"United States","Bachelors","White or Caucasian"
"62a34bb0f3072dd892624210","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:48:00,000","1899-12-30 00:01:05,000","Data Engineer","Yes","66k-85k",75.5,"Other","Python",5,7,7,6,6,7,"Neither easy nor difficult","Better Salary","Male",45,"Canada","Masters","White or Caucasian"
"62a35472cec54911e9ca82bc","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:25:00,000","1899-12-30 00:22:47,000","Other","No","41k-65k",53,"Other","R",3,4,5,5,4,3,"Difficult","Better Salary","Male",24,"United States","Masters","White or Caucasian"
"62a3582e575fa3a5ae88e506","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:41:00,000","1899-12-30 00:02:45,000","Other","No","125k-150k",137.5,"Finance","Other",7,8,8,8,7,8,"Easy","Better Salary","Male",52,"United States","Bachelors","White or Caucasian"
"62a35a2c7dc029e2d66c2519","anonymous","2022-10-06 00:00:00,000","1899-12-30 10:50:00,000","1899-12-30 00:01:39,000","Student/Looking/None","No","0-40k",20,"Tech","Python",3,7,6,7,0,0,"Difficult","Better Salary","Male",42,"Other","Associates","White or Caucasian"
"62a35eabf408bae018ed7cbc","anonymous","2022-10-06 00:00:00,000","1899-12-30 11:09:00,000","1899-12-30 00:01:35,000","Data Engineer","Yes","41k-65k",53,"Finance","Python",2,4,5,5,4,6,"Difficult","Better Salary","Male",22,"United States","Bachelors","White or Caucasian"
"62a360b8f8f7561645856ec4","anonymous","2022-10-06 00:00:00,000","1899-12-30 11:18:00,000","1899-12-30 00:01:16,000","Data Engineer","No","86k-105k",95.5,"Tech","Python",5,3,5,5,4,5,"Difficult","Better Salary","Male",23,"United States","Bachelors","White or Caucasian"
"62a3784c0f8c8599d5af8fbc","anonymous","2022-10-06 00:00:00,000","1899-12-30 12:58:00,000","1899-12-30 00:01:54,000","Other","No","0-40k",20,"Other","R",1,7,7,1,4,10,"Neither easy nor difficult","Better Salary","Male",23,"United States","Associates","White or Caucasian"
"62a38c120f8c8599d5afb0e9","anonymous","2022-10-06 00:00:00,000","1899-12-30 14:23:00,000","1899-12-30 00:02:02,000","Other","No","41k-65k",53,"Other","Python",1,5,5,1,0,3,"Easy","Better Salary","Female",33,"United States","Bachelors","White or Caucasian"
"62a3906224a262602738c58a","anonymous","2022-10-06 00:00:00,000","1899-12-30 14:41:00,000","1899-12-30 00:01:16,000","Data Scientist","Yes","125k-150k",137.5,"Healthcare","Python",4,5,5,5,4,5,"Difficult","Better Salary","Male",28,"United States","Masters","White or Caucasian"
"62a39297b4da29969c638679","anonymous","2022-10-06 00:00:00,000","1899-12-30 14:51:00,000","1899-12-30 00:01:36,000","Data Engineer","Yes","86k-105k",95.5,"Other","Python",8,7,10,9,10,10,"Easy","Better Salary","Male",27,"United States","Masters","White or Caucasian"
"62a397fb5d257a28a30e279a","anonymous","2022-10-06 00:00:00,000","1899-12-30 15:14:00,000","1899-12-30 00:01:20,000","Data Engineer","No","0-40k",20,"Other","Python",0,10,10,5,0,3,"Neither easy nor difficult","Better Salary","Male",25,"United Kingdom","Bachelors","White or Caucasian"
"62a39a340f8c8599d5afc6ce","anonymous","2022-10-06 00:00:00,000","1899-12-30 15:23:00,000","1899-12-30 00:01:23,000","Data Scientist","Yes","0-40k",20,"Education","Python",3,3,1,1,1,6,"Difficult","Better Salary","Male",36,"Other","Masters","White or Caucasian"
"62a3e32bd8c00e9f541ad5f0","anonymous","2022-10-06 00:00:00,000","1899-12-30 20:34:00,000","1899-12-30 00:01:44,000","Other","No","41k-65k",53,"Education","Other",0,1,10,5,0,0,"Difficult","Better Salary","Female",42,"United States","Bachelors","White or Caucasian"
"62a403d30f8c8599d5b03d65","anonymous","2022-10-06 00:00:00,000","1899-12-30 22:54:00,000","1899-12-30 00:00:59,000","Data Engineer","No","0-40k",20,"Real Estate","Python",1,7,7,7,1,2,"Very Easy","Better Salary","Male",22,"United States","Bachelors","White or Caucasian"
"62a41968f8d5efcc22f8fd44","anonymous","2022-11-06 00:00:00,000","1899-12-30 00:26:00,000","1899-12-30 00:02:20,000","Database Developer","Yes","0-40k",20,"Telecommunication","Other",2,3,6,6,3,5,"Difficult","Better Salary","Male",24,"United Kingdom","Bachelors","White or Caucasian"
"62a421cebc6861bf317803f5","anonymous","2022-11-06 00:00:00,000","1899-12-30 01:02:00,000","1899-12-30 00:01:29,000","Other","Yes","0-40k",20,"Other","Python",3,4,5,3,2,3,"Neither easy nor difficult","Better Salary","Male",27,"Other","Bachelors","White or Caucasian"
"62a49e5f24a262602739f9af","anonymous","2022-11-06 00:00:00,000","1899-12-30 09:53:00,000","1899-12-30 00:01:28,000","Data Engineer","Yes","86k-105k",95.5,"Other","JavaScript",4,4,1,6,1,5,"Difficult","Better Salary","Male",40,"United Kingdom","Bachelors","White or Caucasian"
"62a4d9d4bae91e4b8b8501f1","anonymous","2022-11-06 00:00:00,000","1899-12-30 14:07:00,000","1899-12-30 00:01:22,000","Data Scientist","Yes","106k-125k",115.5,"Tech","Other",10,9,8,8,9,10,"Difficult","Better Salary","Male",25,"United States","Associates","White or Caucasian"
